(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (16, [1, 3], [0, 0]))
(8, (20, [], [7, 7, 2, 2]))
(10, (0, [], []))
(10, (0, [], []))
(10, (493, [9], [5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6]))
(10, (526, [2, 4], [5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 7, 7]))
(10, (0, [], []))
(7, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(9, (3, [3], []))
(9, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (8, [9], [6]))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(6, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(10, (3, [4], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(8, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (3, [2], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(7, (3, [3], []))
(7, (3, [3], []))
(7, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (3, [3], []))
(10, (0, [], []))
(8, (6, [1, 3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (6, [1, 2], []))
(10, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(7, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(7, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(7, (3, [3], []))
(10, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (8, [8], [0]))
(8, (0, [], []))
(7, (0, [], []))
(8, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(7, (0, [], []))
(7, (0, [], []))
(8, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (13, [3], [1, 7]))
(7, (3, [3], []))
(10, (68, [9], [5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]))
(10, (8, [9], [0]))
(10, (8, [9], [0]))
(10, (5, [], [0]))
(8, (3, [3], []))
(10, (9, [3, 2, 4], []))
(10, (9, [3, 2, 4], []))
(10, (9, [3, 2, 4], []))
(10, (9, [3, 2, 4], []))
(10, (9, [3, 2, 4], []))
(10, (9, [3, 2, 4], []))
(8, (3, [3], []))
(9, (31, [1, 2], [3, 6, 6, 6, 6]))
(9, (26, [1, 2], [0, 6, 6, 6]))
(7, (3, [3], []))
(9, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (0, [], []))
(8, (0, [], []))
(8, (0, [], []))
(7, (0, [], []))
(10, (9, [3, 2, 4], []))
(10, (9, [3, 2, 4], []))
(10, (9, [3, 2, 4], []))
(10, (9, [3, 2, 4], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(7, (3, [3], []))
(9, (6, [1, 3], []))
(8, (3, [3], []))
(8, (3, [3], []))
(9, (3, [3], []))
(9, (3, [3], []))
(9, (3, [3], []))
(9, (3, [3], []))
(9, (6, [3, 2], []))
(9, (6, [3, 2], []))
(7, (3, [3], []))
(7, (3, [3], []))
(8, (3, [3], []))
(7, (3, [3], []))
(10, (8, [9], [0]))
(10, (8, [9], [0]))
(10, (8, [9], [0]))
(10, (8, [9], [0]))
(10, (8, [9], [0]))
(10, (3, [3], []))
(8, (3, [3], []))
(10, (3, [3], []))
(8, (3, [3], []))
(7, (8, [3], [1]))
(7, (155, [], [1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6]))
(6, (180, [], [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0]))
(7, (8, [3], [1]))
(7, (3, [3], []))
(10, (3, [4], []))
(10, (3, [4], []))
(10, (3, [4], []))
(10, (3, [4], []))
(10, (0, [], []))
(8, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (3, [4], []))
(9, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(9, (3, [2], []))
(8, (0, [], []))
(10, (0, [], []))
(7, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (3, [2], []))
(8, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(9, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (3, [4], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (3, [3], []))
(10, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (3, [3], []))
(9, (0, [], []))
(10, (3, [1], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(8, (0, [], []))
(9, (0, [], []))
(8, (3, [3], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (13, [3], [5, 9]))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (3, [1], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(7, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(8, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (3, [3], []))
(10, (0, [], []))
(10, (3, [3], []))
(8, (0, [], []))
(9, (3, [2], []))
(9, (3, [2], []))
(9, (3, [2], []))
(9, (3, [2], []))
(9, (6, [3, 2], []))
(9, (6, [3, 2], []))
(9, (6, [3, 2], []))
(9, (6, [3, 2], []))
(7, (3, [3], []))
(9, (6, [3, 2], []))
(9, (3, [2], []))
(9, (3, [2], []))
(9, (6, [3, 2], []))
(9, (6, [3, 2], []))
(7, (3, [3], []))
(9, (3, [2], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(9, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
(6, (0, [], []))
(6, (0, [], []))
(8, (0, [], []))
(8, (3, [1], []))
(8, (0, [], []))
(7, (3, [3], []))
(8, (0, [], []))
(8, (5, [], [6]))
(7, (3, [3], []))
(7, (3, [3], []))
(8, (3, [3], []))
(8, (11, [1, 3], [0]))
(8, (13, [3], [0, 0]))
(7, (3, [3], []))
(8, (3, [1], []))
(8, (0, [], []))
(8, (3, [3], []))
(8, (3, [3], []))
(8, (0, [], []))
(10, (3, [4], []))
(8, (0, [], []))
(8, (0, [], []))
(8, (3, [3], []))
(10, (3, [4], []))
(10, (0, [], []))
(10, (0, [], []))
(10, (0, [], []))
